"first_name","last_name","email","address","address2","city","postal_code","country","customer_is_active","total_revenue_from_customer"
"Aaron","Selby","aaron.selby@sakilacustomer.org","1519 Santiago de los Caballeros Loop","","Mwene-Ditu","22025","Congo, The Democratic Republic of the","Yes","88.80"
"Adam","Gooch","adam.gooch@sakilacustomer.org","230 Urawa Drive","","Adoni","2738","India","Yes","97.80"
"Adrian","Clary","adrian.clary@sakilacustomer.org","1986 Sivas Place","","Udine","95775","Italy","Yes","68.82"
"Agnes","Bishop","agnes.bishop@sakilacustomer.org","866 Shivapuri Manor","","Sambhal","22474","India","Yes","86.79"
"Alan","Kahn","alan.kahn@sakilacustomer.org","753 Ilorin Avenue","","Emeishan","3656","China","Yes","119.75"
"Albert","Crouse","albert.crouse@sakilacustomer.org","1641 Changhwa Place","","Bamenda","37636","Cameroon","Yes","96.78"
"Alberto","Henning","alberto.henning@sakilacustomer.org","502 Mandi Bahauddin Parkway","","Barcelona","15992","Venezuela","Yes","66.79"
"Alex","Gresham","alex.gresham@sakilacustomer.org","251 Florencia Drive","","Uruapan","16119","Mexico","Yes","143.68"
"Alexander","Fennell","alexander.fennell@sakilacustomer.org","231 Kaliningrad Place","","Bergamo","57833","Italy","Yes","137.67"
"Alfred","Casillas","alfred.casillas@sakilacustomer.org","1727 Matamoros Place","","Sawhaj","78813","Egypt","Yes","120.74"
"Alfredo","Mcadams","alfredo.mcadams@sakilacustomer.org","1407 Surakarta Manor","","Serpuhov","33224","Russian Federation","Yes","85.80"
"Alice","Stewart","alice.stewart@sakilacustomer.org","1135 Izumisano Parkway","","Fontana","48150","United States","Yes","123.70"
"Alicia","Mills","alicia.mills@sakilacustomer.org","1963 Moscow Place","","Nagaon","64863","India","Yes","73.81"
"Allan","Cornish","allan.cornish@sakilacustomer.org","947 Trshavn Place","","Tarlac","841","Philippines","Yes","63.84"
"Allen","Butterfield","allen.butterfield@sakilacustomer.org","791 Salinas Street","","Hoshiarpur","40509","India","Yes","74.83"
"Allison","Stanley","allison.stanley@sakilacustomer.org","754 Valencia Place","","Phnom Penh","87911","Cambodia","Yes","86.75"
"Alma","Austin","alma.austin@sakilacustomer.org","1074 Binzhou Manor","","Mannheim","36490","Germany","Yes","128.69"
